method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,30,7,11,6,0.0,30.0,163,163,0,150.25,37.317660773055294,42,0.8809523809523809,0.8809523809523809,True
aqf_topk_no_threshold,30,7,11,6,0.0,30.0,163,163,0,150.25,37.317660773055294,42,0.8809523809523809,0.8809523809523809,True
frequency_only,30,7,11,6,0.0,30.0,157,157,0,142.5,37.103669003507974,42,0.8809523809523809,0.9068027210884354,True
flattened_topk,30,1,1,6,0.0,30.0,163,163,0,150.25,37.317660773055294,42,0.8809523809523809,0.8809523809523809,True
no_operator_awareness,30,7,11,6,0.0,30.0,330,163,167,360.0,37.317660773055294,42,0.8809523809523809,0.8809523809523809,True
no_pruning,35,7,12,6,0.0,35.0,187,187,0,172.5,38.95106070014661,42,0.9523809523809523,0.9523809523809523,True
random_topk_1,30,7,11,6,0.0,30.0,157,157,0,145.0,33.41480566933584,42,0.5714285714285714,0.7649659863945578,False
random_topk_2,30,7,12,6,0.0,30.0,160,160,0,148.0,32.85687667461135,42,0.7857142857142857,0.8524943310657596,False
random_topk_3,30,7,11,6,0.0,30.0,162,162,0,150.25,34.51227179757539,42,0.7142857142857143,0.8082766439909298,False
random_topk_4,30,7,12,6,0.0,30.0,161,161,0,149.0,33.633920198798954,42,0.7619047619047619,0.8638321995464852,False
random_topk_5,30,6,11,6,0.0,30.0,157,157,0,143.0,32.93234186613698,42,0.7857142857142857,0.873639455782313,False
random_topk_6,30,7,12,6,0.0,30.0,159,159,0,145.75,32.52316693345632,42,0.6428571428571429,0.7827097505668935,False
random_topk_7,30,7,11,6,0.0,30.0,163,163,0,150.75,34.36197021205073,42,0.7619047619047619,0.819047619047619,False
random_topk_8,30,7,12,6,0.0,30.0,157,157,0,143.5,32.14760136491689,42,0.7142857142857143,0.8341836734693877,False
random_topk_9,30,7,11,6,0.0,30.0,163,163,0,151.25,33.58787425101956,42,0.8571428571428571,0.8944444444444445,False
random_topk_10,30,7,11,6,0.0,30.0,161,161,0,149.0,33.57922360066198,42,0.7380952380952381,0.8252834467120183,False
random_topk_11,30,7,12,6,0.0,30.0,163,163,0,151.75,33.72098651412614,42,0.5,0.7093537414965987,False
random_topk_12,30,7,12,6,0.0,30.0,161,161,0,149.0,31.661601665992116,42,0.6904761904761905,0.7658730158730158,False
random_topk_13,30,7,12,6,0.0,30.0,161,161,0,149.0,33.77242684334424,42,0.6428571428571429,0.7869614512471654,False
random_topk_14,30,7,10,6,0.0,30.0,163,163,0,150.75,35.83023003391242,42,0.8095238095238095,0.8733560090702949,False
random_topk_15,30,7,12,6,0.0,30.0,161,161,0,148.0,33.41046584853301,42,0.7619047619047619,0.849092970521542,False
random_topk_16,30,7,12,6,0.0,30.0,159,159,0,146.75,32.500488386118775,42,0.6666666666666666,0.8290249433106576,False
random_topk_17,30,7,11,6,0.0,30.0,159,159,0,146.75,32.92590999509158,42,0.6666666666666666,0.8038548752834467,False
random_topk_18,30,7,11,6,0.0,30.0,157,157,0,143.0,32.31632082085099,42,0.5952380952380952,0.7232993197278912,False
random_topk_19,30,7,12,6,0.0,30.0,161,161,0,149.5,33.70210201698077,42,0.8333333333333334,0.9047619047619048,False
random_topk_20,30,7,12,6,0.0,30.0,164,164,0,152.5,34.405618848329844,42,0.7619047619047619,0.8463718820861679,False
random_topk_21,30,7,11,6,0.0,30.0,160,160,0,147.5,32.23026527629872,42,0.6666666666666666,0.7934807256235827,False
random_topk_22,30,7,11,6,0.0,30.0,157,157,0,144.5,34.49398548013685,42,0.7857142857142857,0.8679138321995464,False
random_topk_23,30,5,10,6,0.0,30.0,157,157,0,144.0,31.239036444454648,42,0.5714285714285714,0.7498866213151927,False
random_topk_24,30,7,12,6,0.0,30.0,161,161,0,148.5,34.621455835868076,42,0.7857142857142857,0.8655328798185942,False
random_topk_25,30,6,10,6,0.0,30.0,163,163,0,150.75,34.27189920422373,42,0.7380952380952381,0.8437074829931972,False
random_topk_26,30,7,12,6,0.0,30.0,157,157,0,143.5,32.44466816981026,42,0.5952380952380952,0.7735260770975058,False
random_topk_27,30,7,11,6,0.0,30.0,161,161,0,149.0,32.50399017965324,42,0.7142857142857143,0.8218820861678005,False
random_topk_28,30,7,12,6,0.0,30.0,161,161,0,148.5,32.04870377386954,42,0.8095238095238095,0.8814625850340136,False
random_topk_29,30,7,12,6,0.0,30.0,157,157,0,143.5,32.70330974644937,42,0.6666666666666666,0.8031179138321995,False
random_topk_30,30,7,12,6,0.0,30.0,161,161,0,148.0,31.845803189930308,42,0.7857142857142857,0.8616213151927438,False
