method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,18,7,10,6,2.0,30.0,108,108,0,103.5,5.859621793381384
aqf_topk_no_threshold,18,7,10,6,2.0,30.0,108,108,0,103.5,5.859621793381384
frequency_only,22,7,7,4,2.0,30.0,117,117,0,107.0,5.694433680367184
flattened_topk,18,1,1,6,2.0,30.0,108,108,0,103.5,5.859621793381384
no_operator_awareness,18,7,10,6,2.0,30.0,198,108,90,216.0,5.859621793381384
no_pruning,35,7,12,6,2.0,47.0,187,187,0,172.5,7.2796188655523695
random_topk_1,18,6,9,6,2.0,30.0,91,91,0,83.25,3.905650709998536
random_topk_2,18,6,9,6,2.0,30.0,94,94,0,86.25,2.845922998096911
random_topk_3,18,6,8,6,2.0,30.0,96,96,0,88.5,3.788010540184453
random_topk_4,18,7,11,6,2.0,30.0,93,93,0,86.0,3.4135670429788076
random_topk_5,18,6,11,6,2.0,30.0,93,93,0,85.5,3.751851851851852
random_topk_6,18,7,11,6,2.0,30.0,93,93,0,84.5,2.7475737769855417
random_topk_7,18,5,7,6,2.0,30.0,93,93,0,84.5,3.0664617186356318
random_topk_8,18,5,10,6,2.0,30.0,93,93,0,84.5,3.691245791245791
random_topk_9,18,5,9,6,2.0,30.0,98,98,0,91.25,3.991641048162787
random_topk_10,18,7,10,6,2.0,30.0,95,95,0,88.75,4.453092734678412
random_topk_11,18,6,9,6,2.0,30.0,98,98,0,89.75,3.1110379153857415
random_topk_12,18,7,10,6,2.0,30.0,96,96,0,88.0,2.7913448207565854
random_topk_13,18,6,9,6,2.0,30.0,97,97,0,90.0,4.0060864398460305
random_topk_14,18,7,9,6,2.0,30.0,104,104,0,98.0,4.656723242656747
random_topk_15,18,6,11,6,2.0,30.0,96,96,0,88.5,4.062447148380652
random_topk_16,22,7,8,4,2.0,30.0,113,113,0,103.5,5.043870073281838
random_topk_17,20,6,9,5,2.0,30.0,110,110,0,102.25,3.997364953886693
random_topk_18,18,7,8,6,2.0,30.0,97,97,0,88.0,3.058274992034583
random_topk_19,18,6,8,6,2.0,30.0,91,91,0,82.75,3.0986531986531984
random_topk_20,22,6,8,4,2.0,30.0,118,118,0,108.75,4.423290879812619
random_topk_21,18,7,10,6,2.0,30.0,92,92,0,83.0,3.4463587279444057
random_topk_22,18,6,9,6,2.0,30.0,91,91,0,82.75,3.6525252525252525
random_topk_23,18,5,9,6,2.0,30.0,93,93,0,84.5,3.4426877470355732
random_topk_24,18,7,11,6,2.0,30.0,91,91,0,83.75,4.09012977171545
random_topk_25,18,6,9,6,2.0,30.0,97,97,0,90.0,3.2324549846288977
random_topk_26,18,6,9,6,2.0,30.0,93,93,0,84.0,3.474773308532899
random_topk_27,18,7,9,6,2.0,30.0,100,100,0,94.0,4.271069604829195
random_topk_28,18,6,10,6,2.0,30.0,100,100,0,93.0,3.510906163080076
random_topk_29,18,5,9,6,2.0,30.0,93,93,0,84.5,3.256624213145952
random_topk_30,18,7,11,6,2.0,30.0,103,103,0,96.25,4.206496335908101
