method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
aqf_full,demographic,12,1.0,1.0,0,SUPPORTED
aqf_full,diagnosis_oriented,11,0.5454545454545454,0.6666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_full,hospitalisation,11,1.0,1.0,0,SUPPORTED
aqf_full,temporal,7,1.0,1.0,0,SUPPORTED
aqf_full,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,demographic,12,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,diagnosis_oriented,11,0.5454545454545454,0.6666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,hospitalisation,11,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,temporal,7,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,demographic,12,1.0,1.0,0,SUPPORTED
flattened_topk,diagnosis_oriented,11,0.5454545454545454,0.6666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,general_clinical,5,1.0,1.0,0,SUPPORTED
flattened_topk,hospitalisation,11,1.0,1.0,0,SUPPORTED
flattened_topk,temporal,7,1.0,1.0,0,SUPPORTED
flattened_topk,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,demographic,12,1.0,1.0,0,SUPPORTED
frequency_only,diagnosis_oriented,11,0.5454545454545454,0.761904761904762,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,general_clinical,5,1.0,1.0,0,SUPPORTED
frequency_only,hospitalisation,11,1.0,1.0,0,SUPPORTED
frequency_only,temporal,7,1.0,1.0,0,SUPPORTED
frequency_only,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,demographic,12,1.0,1.0,0,SUPPORTED
no_operator_awareness,diagnosis_oriented,11,0.5454545454545454,0.6666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,general_clinical,5,1.0,1.0,0,SUPPORTED
no_operator_awareness,hospitalisation,11,1.0,1.0,0,SUPPORTED
no_operator_awareness,temporal,7,1.0,1.0,0,SUPPORTED
no_operator_awareness,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_pruning,demographic,12,1.0,1.0,0,SUPPORTED
no_pruning,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
no_pruning,general_clinical,6,1.0,1.0,0,SUPPORTED
no_pruning,hospitalisation,11,1.0,1.0,0,SUPPORTED
no_pruning,temporal,7,1.0,1.0,0,SUPPORTED
no_pruning,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_1,diagnosis_oriented,11,0.6363636363636364,0.8030303030303029,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,general_clinical,5,0.2,0.5333333333333333,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,hospitalisation,11,0.5454545454545454,0.6717171717171717,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,temporal,7,0.2857142857142857,0.616326530612245,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,treatment_procedure,8,0.375,0.5392857142857144,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,demographic,12,0.4166666666666667,0.628968253968254,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,diagnosis_oriented,11,0.7272727272727273,0.8333333333333335,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_10,hospitalisation,11,0.6363636363636364,0.7585858585858586,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,temporal,7,0.8571428571428571,0.9428571428571428,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,treatment_procedure,7,0.5714285714285714,0.7000000000000001,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_2,demographic,12,0.3333333333333333,0.5392857142857143,8,ABSENT_OR_PRUNED_OR_MATCH_FAILED
